batch_size,avg_latency_batch_ms,avg_latency_img_ms,throughput_img_per_s,device,dtype,iters,warmup,H,W
1,0.8930679999999924,0.8930679999999924,1119.7355632493925,cpu,fp32,50,10,28,28
2,1.3670600000000022,0.6835300000000011,1462.9935774581927,cpu,fp32,50,10,28,28
4,1.965742000000006,0.4914355000000015,2034.855031840388,cpu,fp32,50,10,28,28
8,2.8654120000000116,0.35817650000000145,2791.9196262177893,cpu,fp32,50,10,28,28
16,4.256493999999993,0.26603087499999956,3758.9621881294856,cpu,fp32,50,10,28,28
32,6.440884000000011,0.20127762500000035,4968.262120541209,cpu,fp32,50,10,28,28
64,11.727280000000011,0.18323875000000017,5457.36095667537,cpu,fp32,50,10,28,28
